,Date,Open,High,Low,Adj Close,Volume,Dividends,Change,Dollar,Dollar_rate,S&P500,DJIA,Nasdaq,interest,SamSung_close
0,2020-01-02,55500,56000,55000,52058.13281,12993228,0,-1.08,1157.8,0,3221.290039,28462.14063,8945.990234,1.894999981,55200
1,2020-01-03,56000,56600,54900,52341.05469,15422255,0,0.54,1156.9,-0.08,3257.850098,28868.80078,9092.19043,1.881999969,55500
2,2020-01-06,54900,55600,54600,52341.05469,10278951,0,0,1162.7,0.5,3234.850098,28634.88086,9020.769531,1.787999988,55500
3,2020-01-07,55700,56400,55600,52623.98438,10009778,0,0.54,1169.6,0.59,3246.280029,28703.38086,9071.469727,1.81099999,55800
4,2020-01-08,56200,57400,55900,53567.05859,23501171,0,1.79,1165.3,-0.37,3237.179932,28583.67969,9068.580078,1.827000022,56800
5,2020-01-09,58400,58600,57400,55264.60938,24102579,0,3.17,1174.1,0.75,3253.050049,28745.08984,9129.240234,1.873999953,58600
6,2020-01-10,58800,59700,58300,56113.37891,16000170,0,1.54,1160,-1.22,3274.699951,28956.90039,9203.429688,1.85800004,59500
7,2020-01-13,59600,60000,59100,56584.92578,11359139,0,0.84,1161.1,0.09,3265.350098,28823.76953,9178.860352,1.825000048,60000
8,2020-01-14,60400,61000,59900,56584.92578,16906295,0,0,1155.7,-0.47,3288.129883,28907.05078,9273.929688,1.84800005,60000
9,2020-01-15,59500,59600,58900,55641.83984,14300928,0,-1.67,1153.1,-0.23,3283.149902,28939.66992,9251.330078,1.817999959,59000
10,2020-01-16,59100,60700,59000,57245.08594,14381774,0,2.88,1158.8,0.49,3289.290039,29030.2207,9258.700195,1.787999988,60700
11,2020-01-17,61900,62000,61000,57810.92969,16025661,0,0.99,1159.6,0.07,3316.810059,29297.64063,9357.129883,1.809000015,61300
12,2020-01-20,62000,62800,61700,58848.32031,12528855,0,1.79,1158.8,-0.07,3329.620117,29348.09961,9388.94043,1.835999966,62400
13,2020-01-21,62000,62400,61200,57905.23438,11142693,0,-1.6,1158.8,0,3329.620117,29348.09961,9388.94043,,61400
14,2020-01-22,60500,62600,60400,58754.01172,15339565,0,1.47,1164.7,0.51,3320.790039,29196.03906,9370.80957,1.769000053,62300
15,2020-01-23,61800,61800,60700,57339.39453,14916555,0,-2.41,1165.1,0.03,3321.75,29186.26953,9383.769531,1.769000053,60800
16,2020-01-28,59400,59400,58300,55453.22656,23664541,0,-3.29,1167.2,0.18,3325.540039,29160.08984,9402.480469,1.74000001,58800
17,2020-01-29,59100,59700,58800,55736.15234,16446102,0,0.51,1176.7,0.81,3276.23999,28722.84961,9269.679688,1.641000032,59100
18,2020-01-30,58800,58800,56800,53944.29688,20821939,0,-3.21,1176,-0.06,3273.399902,28734.44922,9275.160156,1.593999982,57200
19,2020-01-31,57800,58400,56400,53189.83203,19749457,0,-1.4,1183.5,0.63,3283.659912,28859.43945,9298.929688,1.557999969,56400
20,2020-02-03,55500,57400,55200,53944.29688,23995260,0,1.42,1187.8,0.36,3225.52002,28256.0293,9150.94043,1.519999981,57200
21,2020-02-04,57100,59000,56800,55547.53906,21800192,0,2.97,1196,0.69,3248.919922,28399.81055,9273.400391,1.519999981,58900
22,2020-02-05,60000,60200,58900,56113.37891,19278165,0,1.02,1189.4,-0.55,3297.590088,28807.63086,9467.969727,1.603000045,59500
23,2020-02-06,60100,61100,59700,57622.30859,14727159,0,2.69,1188.5,-0.08,3334.689941,29290.84961,9508.679688,1.649000049,61100
24,2020-02-07,61100,61200,59700,56962.16016,16402493,0,-1.15,1181.4,-0.6,3345.780029,29379.76953,9572.150391,1.644000053,60400
25,2020-02-10,59200,59800,59100,56302.00391,13107121,0,-1.16,1187.2,0.49,3327.709961,29102.50977,9520.509766,1.577999949,59700
26,2020-02-11,59800,60700,59700,56490.61719,11071231,0,0.34,1189.8,0.22,3352.090088,29276.82031,9628.389648,1.547000051,59900
27,2020-02-12,60300,60700,59700,57056.46875,12904207,0,1,1184.1,-0.48,3357.75,29276.33984,9638.94043,1.590000033,60500
28,2020-02-13,61200,61600,60500,57245.08594,18449775,0,0.33,1179.8,-0.36,3379.449951,29551.41992,9725.959961,1.629999995,60700
29,2020-02-14,60900,61900,60200,58282.47266,13276067,0,1.81,1181.5,0.14,3373.939941,29423.31055,9711.969727,1.616999984,61800
30,2020-02-17,61600,62000,61200,57999.55078,8740596,0,-0.49,1183.5,0.17,3380.159912,29398.08008,9731.179688,1.588000059,61500
31,2020-02-18,60800,60900,59700,56396.30859,16674266,0,-2.76,1182.2,-0.11,3380.159912,29398.08008,9731.179688,,59800
32,2020-02-19,59800,60400,59400,56773.54688,12951496,0,0.67,1188.1,0.5,3370.290039,29232.18945,9732.740234,1.555999994,60200
33,2020-02-20,60700,61300,59600,56584.92578,14591924,0,-0.33,1190.8,0.23,3386.149902,29348.0293,9817.179688,1.570000052,60000
34,2020-02-21,58800,59800,58500,55830.46094,13777393,0,-1.33,1197,0.52,3373.22998,29219.98047,9750.969727,1.524999976,59200
35,2020-02-24,57400,58100,56800,53567.05859,25627537,0,-4.05,1205.6,0.71,3337.75,28992.41016,9576.589844,1.470999956,56800
36,2020-02-25,56200,58000,56200,54604.45703,23885408,0,1.94,1217.7,0.99,3225.889893,27960.80078,9221.280273,1.376999974,57900
37,2020-02-26,56000,57000,56000,53284.13672,25483102,0,-2.42,1212.7,-0.41,3128.209961,27081.35938,8965.610352,1.330000043,56500
38,2020-02-27,56300,56900,55500,52718.28906,23209541,0,-1.06,1216.8,0.34,3116.389893,26957.58984,8980.780273,1.309999943,55900
39,2020-02-28,55000,55500,54200,51115.05078,30054227,0,-3.04,1215.9,-0.07,2978.76001,25766.64063,8566.480469,1.299000025,54200
40,2020-03-02,54300,55500,53600,51869.51563,30403412,0,1.48,1215.3,-0.05,2954.219971,25409.35938,8567.370117,1.126999974,55000
41,2020-03-03,56700,56900,55100,52246.74609,30330295,0,0.73,1200.3,-1.25,3090.22998,26703.32031,8952.169922,1.088000059,55400
42,2020-03-04,54800,57600,54600,54132.91406,24765728,0,3.61,1191.4,-0.75,3003.370117,25917.41016,8684.089844,1.00999999,57400
43,2020-03-05,57600,58000,56700,54510.14063,21698990,0,0.7,1186.4,-0.42,3130.120117,27090.85938,9018.089844,0.991999984,57800
44,2020-03-06,56500,57200,56200,53284.13672,18716656,0,-2.25,1185,-0.12,3023.939941,26121.2793,8738.589844,0.925999999,56500
45,2020-03-09,56500,56500,56500,53284.13672,0,0,-4.07,1191.4,0.54,2972.370117,25864.7793,8575.620117,0.70599997,56500
46,2020-03-10,53800,54900,53700,51492.28125,32106554,0,0.74,1201.4,0.83,2746.560059,23851.01953,7950.680176,0.499000013,54600
47,2020-03-11,54300,54400,52000,49134.58203,45707281,0,-4.58,1196.7,-0.39,2882.22998,25018.16016,8344.25,0.748000026,52100
48,2020-03-12,52100,52100,52100,49134.58203,0,0,-2.5,1192.8,-0.33,2741.379883,23553.2207,7952.049805,0.819999993,52100
49,2020-03-13,47450,51600,46850,47106.95313,59462933,0,-1.67,1202,0.77,2480.639893,21200.61914,7201.799805,0.848999977,49950
